ec5_uuid,ec5_parent_uuid,created_at,uploaded_at,title,Distance,Stream,Species,Sex,lat_Location,long_Location,accuracy_Location,UTM_Northing_Location,UTM_Easting_Location,UTM_Zone_Location,Notes,15_Photo,Type,Carcass_Location,Predation,Length_Inches,Width_Inches,Carcass_Age,Spawning_Success,Adipose_Fin,Activity
1c4d323e-a09a-47d1-8578-823f24e4fc47,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:16:38.250Z,2022-11-08T21:59:49.000Z,"1840 Chum Live",1840,"Piper's Creek",Chum,Male,47.710943,-122.372196,5,5284364,547092,10T,,,Live,,,,,,,,
fda1d23c-dce0-4cca-b106-6ffcf129559f,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:16:22.894Z,2022-11-08T21:59:47.000Z,"1840 Chum Live",1840,"Piper's Creek",Chum,Male,47.710971,-122.372117,5,5284367,547098,10T,,,Live,,,,,,,,
4ef48a49-67b8-402a-b543-34d4890942c0,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:16:19.838Z,2022-11-08T22:24:51.000Z,"1850 Chum Live",1850,"Piper's Creek",Chum,Female,47.710798,-122.372115,5,5284348,547098,10T,,,Live,,,,,,,,
3570145c-38e7-4767-9848-d502902ac38e,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:16:04.519Z,2022-11-08T21:59:46.000Z,"1840 Chum Live",1840,"Piper's Creek",Chum,Male,47.710933,-122.372117,10,5284363,547098,10T,,,Live,,,,,,,,
38cc97d9-cd49-4940-a849-9de5bfbc0632,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:16:03.888Z,2022-11-08T22:23:09.000Z,"1850 Chum Live",1850,"Piper's Creek",Chum,Female,47.710846,-122.37217,5,5284353,547094,10T,,,Live,,,,,,,,
7320db91-136f-4b33-bcf9-47d2e73cbe4c,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:15:51.994Z,2022-11-08T21:59:44.000Z,"1840 Chum Live",1840,"Piper's Creek",Chum,Male,47.710917,-122.372152,20,5284361,547095,10T,,,Live,,,,,,,,
647cb200-d1c4-414a-80e0-7a49fc9f6e9a,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:15:47.978Z,2022-11-08T22:23:01.000Z,"1850 Chum Live",1850,"Piper's Creek",Chum,Female,47.710861,-122.372183,5,5284355,547093,10T,,,Live,,,,,,,,
91247ed8-b28d-42af-a484-2a9a961955bc,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:15:40.475Z,2022-11-08T21:59:42.000Z,"1840 Chum Live",1840,"Piper's Creek",Chum,Male,47.710792,-122.372176,30,5284347,547093,10T,,,Live,,,,,,,,
c97863a8-e643-4793-8261-52a942dc81be,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:15:31.056Z,2022-11-08T22:22:51.000Z,"1850 Chum Live",1850,"Piper's Creek",Chum,Female,47.710886,-122.372146,5,5284358,547096,10T,,,Live,,,,,,,,
ac5f24c8-a393-4151-91a2-243b30eaf815,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:15:14.880Z,2022-11-08T22:22:41.000Z,"1850 Chum Live",1850,"Piper's Creek",Chum,Female,47.710859,-122.372167,5,5284355,547094,10T,,,Live,,,,,,,,
